id,field,z,m_f444w,color,logSigma,reff_kpc
67137,ceers-full,7.4964614,25.549552839776414,-0.4884078728457304,-7.810208449470236,0.06240130278603175
68816,ceers-full,4.532283,25.606155087470835,-2.729534960309774,-7.942607013910903,0.07080639597093623
70681,ceers-full,7.9008055,26.022457070988935,-2.0163926838978092,-7.906785500823203,0.05609205306411676
71267,ceers-full,7.5175495,26.63522497097882,-1.507428800826922,-8.209039117103591,0.059906585165405514
71321,ceers-full,7.12932,26.08151968598437,-2.3471334350113118,-8.036243706170739,0.06336040081081616
71380,ceers-full,7.1262627,25.06734371177371,-2.939927417031086,-7.494308772226413,0.05416087147672383
72633,ceers-full,5.4433956,25.70796045653218,-0.8888074482450214,-7.936129701421924,0.06706142219180622
72956,ceers-full,8.90418,26.567472506326077,-1.6994402448433306,-8.156474268194785,0.05817583598902204
73890,ceers-full,5.6603184,26.43169548643912,-1.5791871975868261,-8.337170362174403,0.07625109483703006
7242,primer-cosmos-west,5.6587553,26.18285259525196,-1.3757210690284971,-8.917103181649882,0.1667174549082523
8118,primer-cosmos-west,5.642418,26.12796452630904,-1.276869211205124,-8.639901412783484,0.12426756861408884
13074,primer-cosmos-west,5.214783,23.88227086155676,-2.8849326035916825,-7.356158726103499,0.07973062908385373
13666,primer-cosmos-west,5.2880526,25.22285311758467,-2.2187853000651074,-8.216884324060421,0.11584346480281005
15233,primer-cosmos-west,4.9860177,25.20047607545835,-2.323646037722664,-8.015002311555367,0.09276965482447172
16152,primer-cosmos-west,5.7143655,24.617069886655457,-1.2359172941139462,-8.283015578819818,0.16523186775265145
18540,primer-cosmos-west,8.933716,25.94658845307343,-2.025273881732417,-8.428865566747204,0.10595344761289828
21037,primer-cosmos-west,4.4761047,25.467844023321327,-3.06413778650154,-8.17879709751487,0.09904435864493556
21620,primer-cosmos-west,8.087144,25.728668150161447,-2.061060010905397,-8.186185138019102,0.08858474492387647
22379,primer-cosmos-west,5.734882,25.65328315578688,-2.5721540237075047,-8.387534843140262,0.11564072090795396
22483,primer-cosmos-west,7.1354685,25.485141893305574,-1.8603557203408307,-7.78211170755246,0.06223396554893685
22702,primer-cosmos-west,5.4311905,23.35566186947466,-3.062259545635836,-7.366018607751813,0.10277250209722588
25633,primer-cosmos-west,7.051051,24.892907472673304,-3.1309058027690853,-7.726219827414596,0.07665286982916518
26495,primer-cosmos-west,5.019624,24.68859017141412,-2.7637849017037794,-7.573983046370833,0.0706762484733498
28491,primer-cosmos-west,5.5851088,24.704194395376234,-2.776145406862952,-7.6831358257589635,0.07956627634394628
28500,primer-cosmos-west,5.42897,25.271316180266403,-3.0102108633102986,-7.8660504862927425,0.07564182650308876
29372,primer-cosmos-west,5.3858166,26.482141505003344,-1.4646669402322772,-8.53773268733881,0.09385081376475872
29568,primer-cosmos-west,4.3603206,26.375079587099542,-2.1977352890729698,-8.497188693675144,0.09409757458873746
30073,primer-cosmos-west,6.004138,25.97160214650612,-1.8400422842813526,-8.271896099222142,0.08742338542566257
30145,primer-cosmos-west,5.6646295,25.770690591658408,-2.0455657908433196,-8.660238152741938,0.1499619082160185
31319,primer-cosmos-west,6.3338737,24.668341272991306,-1.3300520369004403,-8.100948763713705,0.1308597623509306
31661,primer-cosmos-west,4.4626226,24.970355591206964,-1.534976666479757,-8.163352201101445,0.12235028415048203
32535,primer-cosmos-west,5.7491784,25.145944275606933,-1.187960526607533,-7.884845585897245,0.08189057825756488
33230,primer-cosmos-west,4.7521863,26.757887614763593,-1.2151303187383995,-8.728805439414481,0.10299714741537544
36162,primer-cosmos-west,6.410995,25.060328477714716,-1.6048827208786776,-8.27524953069365,0.13352391874334593
42656,primer-cosmos-west,5.6853933,25.24464464573957,-1.2886297084049012,-8.37138198530578,0.13701309082108365
43505,primer-cosmos-west,4.6754527,25.606355042176133,-2.042899697373894,-8.32205631925073,0.10958652388039856
44446,primer-cosmos-west,7.1314645,25.542053823125304,-1.9378801974614461,-8.291336501085201,0.10895758931532999
46914,primer-cosmos-west,5.654763,26.06830634506435,-2.4881071429280155,-8.53821001490623,0.11361711005427548
47165,primer-cosmos-west,5.2337646,24.610018916879696,-1.9567780150935867,-7.8727682942777015,0.10336663149948336
