id,field,group,z_phot,n_bands,ir_excess,r_eff,z_dist_pred,chi2nu_null,chi2nu_geff,delta_chi2_nu,delta_BIC,verdict
42656,primer-cosmos-west,Silver,5.685393,7,3.276815,137.013091,0.057024,232.794491,237.044213,-4.249723,-21.248613,Null wins
43505,primer-cosmos-west,Silver,4.675453,7,6.563869,109.586524,0.036093,92.210176,91.996096,0.214081,1.070403,Weak
44446,primer-cosmos-west,Silver,7.131464,7,5.958708,108.957589,0.095097,44.635650,47.055581,-2.419931,-12.099653,Null wins
46914,primer-cosmos-west,Silver,5.654763,7,9.891060,113.617110,0.056320,57.295170,59.058113,-1.762943,-8.814716,Null wins
47165,primer-cosmos-west,Silver,5.233765,7,6.063330,103.366631,0.047077,366.945342,373.969529,-7.024187,-35.120936,Null wins
50560,primer-cosmos-west,Silver,5.145899,7,8.161635,90.277146,0.045251,23.959116,23.348363,0.610753,3.053764,Weak
51657,primer-cosmos-west,Silver,4.794126,7,9.913419,80.072132,0.038304,1573.490296,1580.316722,-6.826426,-34.132128,Null wins
53626,primer-cosmos-west,Silver,5.655242,7,5.023634,104.236093,0.056331,193.562253,198.456179,-4.893926,-24.469632,Null wins
54067,primer-cosmos-west,Silver,5.656433,7,6.506500,129.659163,0.056358,23.872975,24.457346,-0.584371,-2.921854,Neutral
55716,primer-cosmos-west,Silver,4.438319,7,7.149953,100.422751,0.031880,1876.371262,814.059537,1062.311725,5311.558624,Weak
1498,gds,Silver,4.663384,7,15.250773,72.061884,0.035872,64.697760,61.546910,3.150850,15.754249,Weak
2981,gds,Silver,4.812245,7,4.956391,114.387346,0.038648,105.866273,107.606068,-1.739794,-8.698970,Null wins
3099,gds,Silver,5.458368,7,11.392125,72.915555,0.051907,535.383052,548.695463,-13.312411,-66.562053,Null wins
5434,gds,Silver,4.107268,7,7.135027,136.069502,0.026461,1481.830940,1522.888172,-41.057232,-205.286161,Null wins
14381,gds,Silver,5.444410,7,5.992430,88.224447,0.051600,48.049774,49.014125,-0.964351,-4.821755,Neutral
14605,gds,Silver,6.928059,7,1.980870,128.974224,0.089170,117.791767,115.542771,2.248996,11.244981,Weak
16053,gds,Silver,6.901801,7,2.070498,86.512789,0.088418,10.788351,10.666685,0.121666,0.608330,Weak
23868,gds,Silver,8.927632,7,12.498111,90.875355,0.155817,18.918328,19.610815,-0.692487,-3.462436,Neutral
29303,gds,Silver,5.985975,7,3.680841,130.322327,0.064160,299.379570,305.703059,-6.323489,-31.617447,Null wins
32147,gds,Silver,4.603241,7,5.256610,104.218417,0.034781,1452.890294,1484.680849,-31.790556,-158.952778,Null wins
32402,gds,Silver,4.942438,7,4.797459,111.450109,0.041162,93.106835,95.173351,-2.066516,-10.332580,Null wins
35367,gds,Silver,5.489472,7,16.019205,63.374243,0.052594,1933.989867,1989.195050,-55.205184,-276.025918,Null wins
39509,gds,Silver,4.287679,7,5.066098,107.797124,0.029346,55.268781,56.240322,-0.971541,-4.857706,Neutral
