id,field,ra,dec,sep_from_center_arcmin,xray_survey,fxb_full_05_7keV,fxb_soft_02_2keV,fxb_hard_27_keV,offaxis_factor,detected
9791,primer-uds-south,34.51039646494913,-5.29937790018335,7.57,XMM-Newton UDS / UDSz X-ray (Kocevski+18),6.874077274283718e-16,2.291359091427906e-16,1.3748154548567436e-15,4.58,False
11501,primer-uds-south,34.42092682322444,-5.296163912928651,2.85,XMM-Newton UDS / UDSz X-ray (Kocevski+18),2.261468589866187e-16,7.53822863288729e-17,4.522937179732374e-16,1.51,False
14258,primer-uds-south,34.31149088115438,-5.290993924304488,5.05,XMM-Newton UDS / UDSz X-ray (Kocevski+18),3.8868668807446766e-16,1.295622293581559e-16,7.773733761489353e-16,2.59,False
17986,primer-uds-south,34.366903086588984,-5.28418784780142,2.0,XMM-Newton UDS / UDSz X-ray (Kocevski+18),1.8759801758421267e-16,6.253267252807089e-17,3.7519603516842534e-16,1.25,False
21488,primer-uds-south,34.391941288626334,-5.276929475632448,1.02,XMM-Newton UDS / UDSz X-ray (Kocevski+18),1.5979910906142973e-16,5.3266369687143245e-17,3.1959821812285946e-16,1.07,False
22358,primer-uds-south,34.304991747702566,-5.275421459133497,5.16,XMM-Newton UDS / UDSz X-ray (Kocevski+18),3.9986181926589144e-16,1.332872730886305e-16,7.997236385317829e-16,2.67,False
23107,primer-uds-south,34.3965085751051,-5.274229901107692,0.94,XMM-Newton UDS / UDSz X-ray (Kocevski+18),1.582516944870533e-16,5.275056482901776e-17,3.165033889741066e-16,1.06,False
25430,primer-uds-south,34.45335415712461,-5.27071720106125,3.84,XMM-Newton UDS / UDSz X-ray (Kocevski+18),2.881997009226259e-16,9.606656697420863e-17,5.763994018452518e-16,1.92,False
28931,primer-uds-south,34.4660858542292,-5.264767804165725,4.55,XMM-Newton UDS / UDSz X-ray (Kocevski+18),3.445043456642766e-16,1.148347818880922e-16,6.890086913285532e-16,2.3,False
29392,primer-uds-south,34.29312046883255,-5.264069605027436,5.79,XMM-Newton UDS / UDSz X-ray (Kocevski+18),4.646601537977316e-16,1.5488671793257721e-16,9.293203075954632e-16,3.1,False
30157,primer-uds-south,34.45432855170366,-5.262759699820477,3.85,XMM-Newton UDS / UDSz X-ray (Kocevski+18),2.887456291649933e-16,9.624854305499777e-17,5.774912583299866e-16,1.92,False
30191,primer-uds-south,34.24697565603606,-5.262728212675196,8.55,XMM-Newton UDS / UDSz X-ray (Kocevski+18),8.348346607362503e-16,2.782782202454168e-16,1.6696693214725007e-15,5.57,False
30520,primer-uds-south,34.39279305787786,-5.262175958673707,0.21,XMM-Newton UDS / UDSz X-ray (Kocevski+18),1.504208752363888e-16,5.014029174546294e-17,3.008417504727776e-16,1.0,False
32880,primer-uds-south,34.33242917035397,-5.258098716321886,3.44,XMM-Newton UDS / UDSz X-ray (Kocevski+18),2.6104323258667787e-16,8.701441086222596e-17,5.220864651733557e-16,1.74,False
33445,primer-uds-south,34.29753202893787,-5.257188779490052,5.53,XMM-Newton UDS / UDSz X-ray (Kocevski+18),4.3641622623591734e-16,1.4547207541197245e-16,8.728324524718347e-16,2.91,False
33898,primer-uds-south,34.35550806508812,-5.256449826079847,2.07,XMM-Newton UDS / UDSz X-ray (Kocevski+18),1.9024030714654412e-16,6.34134357155147e-17,3.8048061429308824e-16,1.27,False
36872,primer-uds-south,34.4070890500239,-5.251666396435935,1.14,XMM-Newton UDS / UDSz X-ray (Kocevski+18),1.6211740005064222e-16,5.4039133350214076e-17,3.2423480010128443e-16,1.08,False
37557,primer-uds-south,34.42231096893665,-5.250702720659581,2.01,XMM-Newton UDS / UDSz X-ray (Kocevski+18),1.8785668002977523e-16,6.261889334325841e-17,3.7571336005955045e-16,1.25,False
37751,primer-uds-south,34.51421982359461,-5.2503646885674895,7.44,XMM-Newton UDS / UDSz X-ray (Kocevski+18),6.695460194413756e-16,2.231820064804585e-16,1.3390920388827512e-15,4.46,False
37878,primer-uds-south,34.40181687272715,-5.25016724014793,0.92,XMM-Newton UDS / UDSz X-ray (Kocevski+18),1.5793632122342996e-16,5.264544040780998e-17,3.158726424468599e-16,1.05,False
39711,primer-uds-south,34.41973629558163,-5.247058526889604,1.94,XMM-Newton UDS / UDSz X-ray (Kocevski+18),1.8524565375651535e-16,6.174855125217178e-17,3.704913075130307e-16,1.23,False
44435,primer-uds-south,34.37030725185898,-5.238639648434586,1.74,XMM-Newton UDS / UDSz X-ray (Kocevski+18),1.7837777196328424e-16,5.945925732109475e-17,3.567555439265685e-16,1.19,False
45383,primer-uds-south,34.34392799518837,-5.236677392605615,3.09,XMM-Newton UDS / UDSz X-ray (Kocevski+18),2.393974391469409e-16,7.979914638231363e-17,4.787948782938818e-16,1.6,False
45637,primer-uds-south,34.34400293702269,-5.236179141373149,3.1,XMM-Newton UDS / UDSz X-ray (Kocevski+18),2.399593385963184e-16,7.99864461987728e-17,4.799186771926368e-16,1.6,False
