id,field,z_phot,n_bands,z_dist_pred,delta_G,chi2nu_null,chi2nu_geff,delta_chi2_nu,BIC_null,BIC_geff,delta_BIC,verdict,Cb_null,Cr_null,Cb_geff,Cr_geff
42859,primer-uds-north,6.580927,7,0.079488,0.158976,192.109651,34.476169,157.633482,964.440076,176.272666,788.167410,Weak,0.076189,0.350884,0.310626,0.355379
43738,primer-uds-north,5.090068,7,0.044109,0.088219,299.532446,314.633693,-15.101247,1501.554048,1577.060284,-75.506235,Null wins,0.167595,0.342466,0.170604,0.355827
43932,primer-uds-north,4.235388,7,0.028493,0.056987,77.870105,78.807621,-0.937515,393.242347,397.929924,-4.687577,Neutral,0.623490,0.234066,0.623975,0.240776
44053,primer-uds-north,5.438139,7,0.051462,0.102924,145.016154,148.792033,-3.775880,728.972588,747.851986,-18.879398,Null wins,0.152235,0.271516,0.160706,0.280511
44681,primer-uds-north,4.581166,7,0.034385,0.068771,90.567010,88.052188,2.514822,456.726870,444.152762,12.574108,Weak,0.397926,0.249117,0.396587,0.258719
46085,primer-uds-north,4.785850,7,0.038148,0.076296,3274.785301,3277.859144,-3.073843,16377.818323,16393.187541,-15.369217,Null wins,0.172459,0.264920,0.172974,0.275026
48927,primer-uds-north,7.907303,7,0.119452,0.238904,6.299372,15.534363,-9.234992,35.388678,81.563637,-46.174958,Null wins,0.338326,0.278173,0.562108,0.310853
52141,primer-uds-north,7.130078,7,0.095056,0.190111,8.885629,9.230983,-0.345354,48.319968,50.046738,-1.726770,Neutral,0.430398,0.247783,0.434630,0.264649
52856,primer-uds-north,6.320852,7,0.072592,0.145183,24.801102,10.210180,14.590922,127.897330,54.942720,72.954610,Weak,0.594863,0.044477,0.499459,0.133785
53667,primer-uds-north,4.563921,7,0.034078,0.068155,183.724870,184.038393,-0.313523,922.516170,924.083785,-1.567615,Neutral,0.325880,0.282904,0.326442,0.292720
54143,primer-uds-north,4.731502,7,0.037129,0.074258,3.619166,3.521129,0.098037,21.987650,21.497465,0.490185,Weak,0.546716,0.162649,0.546554,0.168959
54603,primer-uds-north,5.651867,7,0.056254,0.112507,41.805334,42.581974,-0.776640,212.918491,216.801691,-3.883200,Neutral,0.389896,0.100930,0.393591,0.104175
55902,primer-uds-north,8.670386,7,0.146173,0.292347,29.769068,28.538006,1.231061,152.737159,146.581852,6.155307,Weak,0.199436,0.269351,0.372258,0.381448
56783,primer-uds-north,5.313366,7,0.048762,0.097524,38.587590,40.043449,-1.455860,196.829768,204.109066,-7.279298,Null wins,0.048363,0.333424,0.054122,0.346082
57469,primer-uds-north,5.667973,7,0.056623,0.113246,339.119865,346.931517,-7.811653,1699.491144,1738.549407,-39.058263,Null wins,0.413980,0.185727,0.419164,0.192591
