id,field,z_phot,ha_observed_um,ha_instrument,nirspec_programs,has_spectrum,ha_flux,ha_fwhm_kms,ha_ew_angstrom,ha_snr,oiii_flux,oiii_ew,hb_flux,z_spec
50300,primer-cosmos-west,5.6961317,4.39,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
50560,primer-cosmos-west,5.145899,4.03,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
51657,primer-cosmos-west,4.7941256,3.8,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
53626,primer-cosmos-west,5.6552424,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
54067,primer-cosmos-west,5.6564326,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
55716,primer-cosmos-west,4.438319,3.57,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
1498,gds,4.6633844,3.72,NIRSpec (F100LP+G140H/F170LP+G235H),1180|1210,False,,,,,,,,
2981,gds,4.812245,3.81,NIRSpec (F100LP+G140H/F170LP+G235H),1180|1210,False,,,,,,,,
3099,gds,5.458368,4.24,NIRSpec (F100LP+G140H/F170LP+G235H),1180|1210,False,,,,,,,,
5434,gds,4.1072683,3.35,NIRSpec (F100LP+G140H/F170LP+G235H),1180|1210,False,,,,,,,,
