id,field,z_phot,n_bands,z_dist_pred,delta_G,chi2nu_null,chi2nu_geff,delta_chi2_nu,BIC_null,BIC_geff,delta_BIC,fA_null,fA_geff,alpha_null,alpha_geff,Cb_null,Cr_null,Cb_geff,Cr_geff,verdict
51855,primer-cosmos-east,4.6512,7,0.094415,0.188829,2353.1045,2353.1045,-0.0000,4710.43,4710.43,-0.00,1.0000,1.0000,-1.0224,-1.0224,0.3499,0.0024,19.2245,0.0597,Neutral
52084,primer-cosmos-east,7.0756,7,0.094487,0.188975,218.3446,218.3446,0.0000,440.91,440.91,0.00,1.0000,0.9985,-2.1437,-2.1437,0.6281,0.4125,0.0000,0.0000,Neutral
52124,primer-cosmos-east,4.8338,7,0.094428,0.188857,506.2416,506.2416,-0.0000,1016.71,1016.71,-0.00,0.9503,0.9069,-1.4664,-1.4664,0.0000,0.0000,0.0000,0.0000,Neutral
54661,primer-cosmos-east,5.6676,7,0.094465,0.188931,13.2359,13.2359,0.0000,30.70,30.70,0.00,0.9999,0.9999,-3.0000,-3.0000,2952.4800,0.0000,2905.8620,0.0000,Neutral
55423,primer-cosmos-east,5.4080,7,0.094457,0.188914,398.8896,398.8896,0.0000,802.00,802.00,0.00,1.0000,1.0000,-1.9429,-1.9428,0.1070,0.2576,0.1349,0.2998,Neutral
344,primer-uds-south,7.1354,6,0.094488,0.188976,23.8955,23.8955,-0.0000,27.79,27.79,-0.00,1.0000,1.0000,-3.0000,-3.0000,0.0000,817.9380,0.0000,1332.5399,Neutral
2480,primer-uds-south,4.6841,7,0.094417,0.188835,29.5958,29.5958,-0.0000,63.42,63.42,-0.00,0.5312,0.2856,-1.3389,-1.3389,0.0000,0.0005,0.0000,0.0004,Neutral
4620,primer-uds-south,5.7463,7,0.094467,0.188935,423.1016,423.1016,-0.0000,850.43,850.43,-0.00,1.0000,1.0000,-1.5925,-1.5925,0.1007,0.4825,94.2011,0.2097,Neutral
7830,primer-uds-south,5.5454,7,0.094462,0.188923,37.5681,37.5680,0.0000,79.36,79.36,0.00,1.0000,0.8072,-1.5777,-1.5777,0.3233,260.2745,0.0000,0.0040,Neutral
9104,primer-uds-south,6.0931,7,0.094475,0.188950,62.5157,62.5157,0.0000,129.26,129.26,0.00,0.9999,0.6680,-1.4911,-1.4911,0.0155,5.0484,0.0000,0.0014,Neutral
9791,primer-uds-south,5.0278,7,0.094440,0.188880,14.1870,14.1870,-0.0000,32.60,32.60,-0.00,1.0000,0.9933,-2.0653,-2.0654,0.0010,28.3269,0.0000,0.0948,Neutral
11501,primer-uds-south,4.6800,7,0.094417,0.188834,653.5623,653.5614,0.0009,1311.35,1311.35,0.00,1.0000,1.0000,-1.7083,-1.7083,0.3775,179.7045,0.2611,7973.4454,Neutral
14258,primer-uds-south,5.4719,7,0.094459,0.188918,31.5912,31.5912,0.0000,67.41,67.41,0.00,0.9995,0.9991,-2.1750,-2.1750,162.4419,1.1829,99.0349,0.7893,Neutral
17986,primer-uds-south,4.9401,7,0.094435,0.188870,2310.8093,2310.8093,0.0000,4625.84,4625.84,0.00,1.0000,1.0000,-1.5204,-1.5203,0.9045,0.0000,0.9519,0.2072,Neutral
