SDSS_NAME,RA,DEC,Z,LORD_TYPE,AUTOCLASS,PSFMAG_U,PSFMAG_G,PSFMAG_R,PSFMAG_I,PSFMAG_Z
141209.04+503628.5,213.03770688414136,50.60794026783294,0.793,red1,QSO,22.604681,21.83144,20.765633,20.159725,19.68762
141231.73+525837.9,213.13222650229366,52.977205081197134,0.8433672189712524,red1,QSO,21.688509,22.062105,21.668083,21.224058,20.595446
141342.97+634752.2,213.42905667795662,63.79784744606287,0.758,red1,QSO,21.360401,20.5711,19.895536,19.287897,18.829351
141528.24-010514.9,213.867707,-1.087487,0.379796,red2,UNK,19.843063,19.776503,19.36084,18.932135,18.230808
141543.89+405510.5,213.93289855460387,40.91960854865776,0.3762081265449524,red2,QSO,21.673435,21.215744,20.188562,19.771645,19.014467
141615.82+543126.4,214.0659418571937,54.524005930552846,0.723,red1,QSO,22.415052,22.420568,21.892864,21.336575,20.516733
141829.31+152924.1,214.62214987047832,15.490054431198015,0.467,red2,UNK,21.676281,20.968689,20.260529,19.735357,19.208254
141858.80+523209.9,214.74501671518215,52.536105064153105,0.757,red1,QSO,21.736479,21.870451,21.821753,21.210464,20.526516
141901.47+524509.5,214.7561617258016,52.752664459774,0.8436822891235352,red1,QSO,22.164675,22.48029,22.023876,21.161167,20.498482
141921.48+254509.8,214.83952570837664,25.75272961179558,0.469,red2,UNK,21.946266,21.282707,20.670101,19.54954,19.51214
141937.23+191619.8,214.90515028881367,19.272176326670557,0.455,red2,UNK,21.955637,21.316986,20.860788,20.102053,19.721819
142015.20+521636.7,215.06334790479164,52.27688071113117,0.747,red1,QSO,22.355637,22.162428,21.43298,21.0363,20.289505
142113.36+490748.1,215.30567232511524,49.13003203351059,0.7384631037712097,red1,QSO,22.299795,21.99808,21.288033,20.503172,20.151266
142213.29+173756.5,215.5553818491129,17.632377222685164,0.393,red2,QSO,22.531893,21.97222,20.810019,20.279612,19.78987
142222.78+524354.0,215.59494053485105,52.731678199295985,0.459,red2,QSO,22.60627,21.838856,20.935604,20.057756,19.84731
142254.08+591608.1,215.7253536545743,59.268929835176415,0.829,red1,QSO,22.187782,21.466717,21.179523,20.573315,19.937792
142255.02+202155.1,215.729252240661,20.36532376883476,0.468,red2,UNK,22.153584,21.544426,20.791533,19.588436,19.45791
142321.81+372348.9,215.8408792289643,37.39693340879163,0.783521294593811,red1,QSO,22.789173,22.214968,21.822731,21.556705,20.66691
142526.47+414019.8,216.3602936095121,41.67217291616635,0.8173103332519531,red1,QSO,22.61981,22.02895,21.766113,21.25123,20.548428
142643.85-001026.7,216.6827219184398,-0.17409941033723425,0.706,red1,UNK,22.739801,21.975986,21.256512,20.453175,19.963194
142723.52+004958.5,216.84800174075735,0.8329309178601578,0.723,red1,UNK,22.059742,21.830238,20.8561,19.97188,19.541388
