id,field,ra,dec,z_phot,F444W_mag,r_eff_50_phys,r_eff_arcsec,SB_F444W,logSigma_Mstar,logMstar_best,verdict
44435,primer-uds-south,34.37030725185898,-5.238639648434586,5.1732736,33.56539882090135,98.62308043066938,0.015624314975891423,25.77727842992941,5.002042873349197,8.99,Neutral
45383,primer-uds-south,34.34392799518837,-5.236677392605615,4.8551655,33.88829184521026,118.60664697163948,0.01820801081355213,26.432479040136208,4.941781942985448,9.09,Neutral
45637,primer-uds-south,34.34400293702269,-5.236179141373149,4.5362873,32.318484488684014,109.9240731348419,0.016340765610898433,24.627721173383907,5.897814375212204,9.98,Support
47509,primer-uds-south,34.26460314475026,-5.232585427484487,5.659403,32.418812560338964,196.7753709572188,0.03266712099950596,26.2322415478884,5.522058520414391,10.11,Support
48686,primer-uds-south,34.49635717133602,-5.230361011735166,4.843895,34.16234158710101,188.83439301175304,0.028956438174933527,27.713941968045795,4.817837806782427,9.37,Neutral
48982,primer-uds-south,34.33123035997706,-5.229861833950647,5.38785,33.05196912500639,86.64903684941646,0.014016564466201243,25.028051700783337,5.724472520679319,9.6,Neutral
50716,primer-uds-south,34.31315407240597,-5.226780942036896,7.8636265,33.54834995264308,69.90504346274642,0.014057684292491705,25.530793562896346,6.320982979867016,10.01,Null wins
51593,primer-uds-south,34.37359814355506,-5.225203398424738,4.457851,32.57696734851103,98.23092206583677,0.01448614737749672,24.624606526557976,5.015503558669657,9.0,Support
52581,primer-uds-south,34.40539228360383,-5.223527645703455,6.166954,32.09595481761747,77.02489447674957,0.013403517697386172,23.97492345986149,5.896737775978467,9.67,Support
55634,primer-uds-south,34.37214013256284,-5.217964106077201,6.879805,33.09666338992028,74.47756139010417,0.013804337045752409,25.039615843922462,6.8659491036925155,10.61,Weak
55783,primer-uds-south,34.270711521139155,-5.2176792889822154,4.6260314,31.845984900746732,109.96452826156413,0.016496453992906272,24.17581258330346,5.7274947690409554,9.81,Neutral
57494,primer-uds-south,34.36877729836944,-5.214285317247173,4.0239935,30.980132435041476,122.47714623353806,0.017271209247682384,23.40962084607628,5.9338898828538476,10.11,Support
59568,primer-uds-south,34.37223598544468,-5.210034144967174,8.901577,33.39404432318341,78.93528551401158,0.01719031958156992,25.813338758110316,6.685457631644683,10.48,Neutral
59880,primer-uds-south,34.440987518226386,-5.209337113326783,5.663111,34.20689378929318,120.00611277187473,0.019929468932860947,26.94724710135962,5.091593263313406,9.25,Neutral
59971,primer-uds-south,34.26054876950803,-5.209163464917401,5.3915443,33.73634557232721,146.7388901779425,0.02374530634672196,26.857109138778583,5.256909539848074,9.59,Neutral
60046,primer-uds-south,34.3774127954971,-5.209022947260113,5.462843,33.85253400272325,120.8085278514652,0.01968375378039746,26.565948303983824,5.615804815732545,9.78,Neutral
60446,primer-uds-south,34.4030978645048,-5.208186419505702,4.36605,32.72436152584338,100.02763199041787,0.01461304314346089,24.79093954008745,5.0797600247341945,9.08,Support
62395,primer-uds-south,34.36730350722771,-5.20419582363576,5.6591854,32.0415182681692,79.42886599802144,0.013185893036325374,23.88494069207792,5.8800432756142325,9.68,Null wins
66511,primer-uds-south,34.293687587129725,-5.196477294049358,7.1307554,31.17680896835058,111.28508555443562,0.021072593498748175,24.03827359743831,6.167126071967271,10.26,Neutral
67076,primer-uds-south,34.46542619095356,-5.195332815308801,7.9367976,33.0535308707793,85.7376135588745,0.01734224856236629,25.49193258537739,6.653657217826093,10.52,Null wins
68947,primer-uds-south,34.46287218489254,-5.191959922775389,5.6559973,31.74858049460322,82.59408137195713,0.013707213794815787,23.676201109473674,5.696102145543126,9.53,Null wins
69772,primer-uds-south,34.471126609335464,-5.190443860816161,5.4293756,31.7663316444079,69.60870252850678,0.011305193720257626,23.275596369155654,6.244672922392557,9.93,Neutral
6756,ceers-full,214.8964764095056,52.78769104113195,7.136083,33.104514152858535,54.396483832198435,0.010304979703991902,24.412624538385458,6.368858344045796,9.84,Neutral
9246,ceers-full,215.0759983092168,52.9213331071539,4.6044097,32.80068878928224,69.26564929034056,0.010368214449658329,24.12208332749087,5.558964180768981,9.24,Support
12234,ceers-full,214.91179273247536,52.809063181954286,6.142212,32.584400071516775,57.94758580918855,0.010061077370971266,23.840497197216965,6.383929305478004,9.91,Support
12544,ceers-full,214.89586242316247,52.79821219297834,4.549665,34.30685965936774,83.87673704464756,0.012485685171638172,26.031796240778093,5.402716945423103,9.25,Weak
13736,ceers-full,214.95519257473848,52.843020797458365,5.356953,32.50391240006399,64.48052529472373,0.010399463187962884,23.83184169150354,5.971142866361557,9.59,Neutral
14076,ceers-full,214.93497411857868,52.82936734381139,5.661391,34.21628138962027,73.16689272624528,0.012148883233813728,25.881837861157607,5.711370776649078,9.44,Support
19354,ceers-full,214.8997085945354,52.81284265178295,5.4279175,33.1291252366491,63.349080495239264,0.010287122089921056,24.433469389242298,5.456519368940459,9.06,Neutral
20010,ceers-full,215.06178750836733,52.93117525134058,8.934445,34.77423039169785,64.42038348903961,0.014063366007753828,26.75755147188674,6.411953388381365,10.03,Neutral
20632,ceers-full,214.8945675036202,52.81216541941548,5.653135,32.683609608896994,62.625804274768534,0.010390489367466324,24.009664302039653,5.776493367284093,9.37,Null wins
20897,ceers-full,214.9490179204384,52.851746577831136,4.533114,31.96055692155857,66.4479321401957,0.009874628025268789,23.17603532751255,5.025037059512506,8.67,Support
22049,ceers-full,215.1370824993564,52.98855485797787,7.1350226,33.04671096896166,55.6208414369509,0.010535981613188422,24.402960670935556,6.52952489075456,10.02,Null wins
22239,ceers-full,215.13147827808135,52.984910779504645,7.131442,34.14105513331939,63.88495294759667,0.012097754778346187,25.79745370058222,5.359202841472115,8.97,Neutral
